epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,59.4519,0.94335,3.79957,1.3014,0.58626,0.18283,0.17269,0.12979,0.94979,2.55023,1.24423,0.000138073,0.000138073,0.000138073
2,110.888,0.98233,2.8217,1.316,0.61774,0.28208,0.26204,0.19237,0.9645,2.17689,1.27473,0.00026793,0.00026793,0.00026793
3,160.94,1.01141,2.49698,1.33682,0.50672,0.35683,0.3394,0.24435,1.0126,2.18065,1.31709,0.000388612,0.000388612,0.000388612
4,210.566,0.97944,2.40691,1.33205,0.5685,0.39908,0.4013,0.29124,0.98181,1.8419,1.29614,0.000375717,0.000375717,0.000375717
5,260.55,0.97542,2.27664,1.31605,0.56818,0.41176,0.42002,0.30278,0.98782,1.73154,1.27764,0.000361956,0.000361956,0.000361956
6,312.295,0.93736,2.17456,1.29329,0.65257,0.45977,0.50257,0.38248,0.90335,1.62581,1.21962,0.000348195,0.000348195,0.000348195
7,361.395,0.91363,2.07406,1.27959,0.61517,0.5259,0.56371,0.43063,0.89797,1.43408,1.21154,0.000334434,0.000334434,0.000334434
8,410.46,0.89811,2.00138,1.26948,0.71927,0.53345,0.60079,0.45877,0.88218,1.50285,1.19157,0.000320673,0.000320673,0.000320673
9,459.347,0.88232,1.96079,1.25772,0.75607,0.5246,0.627,0.48611,0.85563,1.41067,1.18288,0.000306912,0.000306912,0.000306912
10,509.4,0.88429,1.83364,1.24597,0.70925,0.56081,0.63383,0.49016,0.85204,1.4659,1.1586,0.000293151,0.000293151,0.000293151
11,560.553,0.85969,1.77593,1.22875,0.71773,0.60237,0.66971,0.51836,0.82967,1.293,1.14645,0.00027939,0.00027939,0.00027939
12,610.383,0.82108,1.68713,1.21726,0.76869,0.6014,0.71402,0.5751,0.78846,1.17841,1.11903,0.000265629,0.000265629,0.000265629
13,660.534,0.83291,1.69307,1.20866,0.741,0.67492,0.73931,0.61141,0.7485,1.15805,1.08919,0.000251868,0.000251868,0.000251868
14,710.286,0.83298,1.62811,1.19483,0.73331,0.65845,0.72507,0.58797,0.76724,1.18682,1.08968,0.000238107,0.000238107,0.000238107
15,758.197,0.79093,1.58872,1.19352,0.75358,0.6942,0.76097,0.61802,0.7473,1.09974,1.08117,0.000224346,0.000224346,0.000224346
16,806.408,0.80255,1.54003,1.18821,0.73274,0.7358,0.78531,0.64438,0.72156,1.05937,1.06908,0.000210585,0.000210585,0.000210585
17,854.997,0.80075,1.48685,1.18537,0.78327,0.70094,0.77527,0.63177,0.71779,1.03686,1.05958,0.000196824,0.000196824,0.000196824
18,902.81,0.77264,1.46605,1.16,0.8349,0.7106,0.81931,0.67452,0.70954,0.95126,1.05409,0.000183063,0.000183063,0.000183063
19,950.252,0.77209,1.44982,1.16888,0.78257,0.7593,0.81848,0.67793,0.69946,0.96802,1.03822,0.000169302,0.000169302,0.000169302
20,998.123,0.73229,1.3706,1.14553,0.85048,0.74787,0.85507,0.71522,0.67574,0.90781,1.02726,0.000155541,0.000155541,0.000155541
21,1085.91,0.74893,1.68498,1.17099,0.7608,0.76555,0.79202,0.65004,0.69134,0.97873,1.03285,0.00014178,0.00014178,0.00014178
22,1133.98,0.70895,1.52136,1.14033,0.72806,0.83144,0.84037,0.70187,0.67543,0.91615,1.01729,0.000128019,0.000128019,0.000128019
23,1181.77,0.696,1.4748,1.12517,0.80159,0.83216,0.86715,0.73541,0.6645,0.84141,1.00501,0.000114258,0.000114258,0.000114258
24,1228.81,0.67746,1.38023,1.10746,0.83661,0.80871,0.87391,0.7442,0.65738,0.87887,0.99982,0.000100497,0.000100497,0.000100497
25,1276.17,0.65449,1.33248,1.10149,0.85671,0.83434,0.88679,0.75527,0.6363,0.81567,0.98203,8.6736e-05,8.6736e-05,8.6736e-05
26,1323.89,0.63963,1.29804,1.0927,0.84337,0.82086,0.89508,0.77111,0.62001,0.81941,0.97088,7.2975e-05,7.2975e-05,7.2975e-05
27,1371.01,0.62361,1.24319,1.07454,0.86591,0.83772,0.88894,0.76821,0.61396,0.78619,0.96168,5.9214e-05,5.9214e-05,5.9214e-05
28,1417.58,0.61227,1.22416,1.06335,0.89075,0.83885,0.90232,0.78445,0.60324,0.75738,0.95421,4.5453e-05,4.5453e-05,4.5453e-05
29,1464.93,0.61299,1.2157,1.06108,0.90518,0.83422,0.90452,0.78774,0.59752,0.77498,0.94947,3.1692e-05,3.1692e-05,3.1692e-05
30,1511.08,0.61053,1.15407,1.03787,0.90481,0.83437,0.91,0.79451,0.59318,0.74682,0.94731,1.7931e-05,1.7931e-05,1.7931e-05
